Wavelength (um),Spectral Radiance (W/m²/sr/μm)
0.1,1.755762578355856e-172
0.11991991991991993,3.5058746963145216e-142
0.13983983983983983,1.4489628934141428e-120
0.15975975975975976,2.2289333220813873e-104
0.17967967967967968,8.240201278976768e-92
0.1995995995995996,8.936712905228743e-82
0.21951951951951953,1.3978443959696285e-73
0.23943943943943943,9.117893075521908e-67
0.2593593593593594,5.1722905712153824e-61
0.2792792792792793,4.312932094633764e-56
0.29919919919919924,7.767381722980963e-52
0.3191191191191191,4.031580292309135e-48
0.33903903903903904,7.518663257031518e-45
0.3589589589589589,5.980258432186949e-42
0.37887887887887883,2.3225174905908897e-39
0.39879879879879876,4.90714434664456e-37
0.4187187187187187,6.156473821969373e-35
0.4386386386386386,4.9265536641907805e-33
0.45855855855855854,2.6675773493499354e-31
0.47847847847847846,1.026641681649466e-29
0.4983983983983984,2.9267408559755104e-28
0.5183183183183183,6.399990650624025e-27
0.5382382382382382,1.105897358916814e-25
0.5581581581581582,1.548993319092844e-24
0.5780780780780781,1.7976719201572993e-23
0.597997997997998,1.7617667791169777e-22
0.6179179179179178,1.4823294158748598e-21
0.6378378378378378,1.0863718111737422e-20
0.6577577577577577,7.023664586339996e-20
0.6776776776776776,4.051001382935075e-19
0.6975975975975975,2.1051228162054767e-18
0.7175175175175175,9.943311666311628e-18
0.7374374374374374,4.302587036846784e-17
0.7573573573573573,1.7175875194638388e-16
0.7772772772772772,6.365461296368613e-16
0.7971971971971972,2.202515223281575e-15
0.8171171171171171,7.151562243577036e-15
0.837037037037037,2.189164365882017e-14
0.856956956956957,6.344042493494091e-14
0.8768768768768769,1.7470794055291792e-13
0.8967967967967968,4.587952866525078e-13
0.9167167167167166,1.1525355350829523e-12
0.9366366366366365,2.7776057588842618e-12
0.9565565565565565,6.438940482496869e-12
0.9764764764764764,1.4392556834947346e-11
0.9963963963963963,3.1089125893997314e-11
1.0163163163163162,6.503045730479094e-11
1.0362362362362363,1.3197279255212845e-10
1.056156156156156,2.602976649083713e-10
1.0760760760760761,4.997773846013857e-10
1.095995995995996,9.355220002405653e-10
1.115915915915916,1.7096458419048822e-09
1.1358358358358358,3.05417494184734e-09
1.1557557557557558,5.339972739168721e-09
1.1756756756756757,9.148029469600067e-09
1.1955955955955957,1.5371374513616476e-08
1.2155155155155155,2.535815653376577e-08
1.2354354354354355,4.110910783202702e-08
1.2553553553553554,6.554566681729749e-08
1.2752752752752754,1.028684584001191e-07
1.2951951951951952,1.5902958990165578e-07
1.3151151151151153,2.4234625263171014e-07
1.335035035035035,3.6428734898364073e-07
1.354954954954955,5.404691942662394e-07
1.374874874874875,7.919006562509937e-07
1.3947947947947947,1.146522263364474e-06
1.4147147147147148,1.6410876933485282e-06
1.4346346346346346,2.3234395003079373e-06
1.4545545545545546,3.2552338002174558e-06
1.4744744744744744,4.515170767958793e-06
1.4943943943943945,6.202789066896758e-06
