"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5"
"Date/Time","Date/Time","above last glass","under first glass","black bottom","underside bottom","solar ins"
"","","°C","°C","°C","°C","W/m^2"
"2024-09-13 11:32:01","45548.4805671296","30.9","27.6","28.1","28.4","817.974"
"2024-09-13 11:32:02","45548.4805787037","30.9","27.6","28.1","28.4","811.480"
"2024-09-13 11:32:03","45548.4805902778","31.0","27.6","28.1","28.3","813.404"
"2024-09-13 11:32:04","45548.4806018519","30.9","27.6","28.1","28.3","816.290"
"2024-09-13 11:32:05","45548.4806134259","31.0","27.6","28.1","28.3","814.607"
"2024-09-13 11:32:06","45548.4806250000","31.1","27.6","28.2","28.4","803.062"
"2024-09-13 11:32:07","45548.4806365741","31.1","27.6","28.1","28.4","863.911"
"2024-09-13 11:32:08","45548.4806481482","31.1","27.6","28.1","28.4","923.798"
"2024-09-13 11:32:09","45548.4806597222","31.1","27.6","28.1","28.3","926.925"
"2024-09-13 11:32:10","45548.4806712963","31.1","27.6","28.1","28.3","920.672"
"2024-09-13 11:32:11","45548.4806828704","31.1","27.6","28.1","28.3","927.647"
"2024-09-13 11:32:12","45548.4806944444","31.2","27.7","28.2","28.4","930.292"
"2024-09-13 11:32:13","45548.4807060185","31.2","27.7","28.2","28.4","927.647"
"2024-09-13 11:32:14","45548.4807175926","31.2","27.7","28.2","28.4","925.482"
"2024-09-13 11:32:15","45548.4807291667","31.2","27.6","28.1","28.3","933.419"
"2024-09-13 11:32:16","45548.4807407407","31.2","27.6","28.1","28.3","938.710"
"2024-09-13 11:32:17","45548.4807523148","31.2","27.6","28.1","28.3","941.356"
"2024-09-13 11:32:18","45548.4807638889","31.2","27.6","28.1","28.3","921.393"
"2024-09-13 11:32:19","45548.4807754630","31.3","27.7","28.2","28.4","897.583"
"2024-09-13 11:32:20","45548.4807870370","31.3","27.7","28.2","28.4","887.481"
"2024-09-13 11:32:21","45548.4807986111","31.3","27.7","28.2","28.4","888.203"
"2024-09-13 11:32:22","45548.4808101852","31.3","27.7","28.2","28.4","847.557"
"2024-09-13 11:32:23","45548.4808217593","31.4","27.7","28.2","28.3","848.038"
"2024-09-13 11:32:24","45548.4808333333","31.4","27.7","28.2","28.3","843.949"
"2024-09-13 11:32:25","45548.4808449074","31.5","27.8","28.3","28.4","769.632"
"2024-09-13 11:32:26","45548.4808564815","31.5","27.8","28.3","28.4","750.872"
"2024-09-13 11:32:27","45548.4808680556","31.5","27.7","28.3","28.4","753.277"
"2024-09-13 11:32:28","45548.4808796296","31.5","27.7","28.3","28.4","742.454"
"2024-09-13 11:32:29","45548.4808912037","31.5","27.7","28.3","28.4","743.656"
"2024-09-13 11:32:30","45548.4809027778","31.5","27.7","28.2","28.3","297.751"
"2024-09-13 11:32:31","45548.4809143519","31.6","27.8","28.3","28.4","415.601"
"2024-09-13 11:32:32","45548.4809259259","31.6","27.8","28.3","28.4","57.0008"
"2024-09-13 11:32:33","45548.4809375000","31.6","27.8","28.3","28.4","55.0767"
"2024-09-13 11:32:34","45548.4809490741","31.6","27.8","28.3","28.4","53.8742"
"2024-09-13 11:32:35","45548.4809606482","31.6","27.7","28.3","28.4","406.221"
"2024-09-13 11:32:36","45548.4809722222","31.6","27.7","28.3","28.4","711.428"
"2024-09-13 11:32:37","45548.4809837963","31.6","27.7","28.3","28.3","710.466"
"2024-09-13 11:32:38","45548.4809953704","31.7","27.8","28.4","28.4","770.113"
"2024-09-13 11:32:39","45548.4810069444","31.7","27.8","28.4","28.4","870.165"
"2024-09-13 11:32:40","45548.4810185185","31.7","27.8","28.4","28.4","892.773"
"2024-09-13 11:32:41","45548.4810300926","31.7","27.8","28.3","28.4","906.482"
"2024-09-13 11:32:42","45548.4810416667","31.7","27.8","28.3","28.4","926.685"
"2024-09-13 11:32:43","45548.4810532407","31.7","27.8","28.3","28.4","916.583"
"2024-09-13 11:32:44","45548.4810648148","31.8","27.9","28.4","28.5","926.925"
"2024-09-13 11:32:45","45548.4810763889","31.8","27.8","28.4","28.4","925.242"
"2024-09-13 11:32:46","45548.4810879630","31.8","27.8","28.4","28.4","926.204"
"2024-09-13 11:32:47","45548.4810995370","31.8","27.8","28.4","28.4","927.166"
"2024-09-13 11:32:48","45548.4811111111","31.8","27.8","28.3","28.4","926.925"
"2024-09-13 11:32:49","45548.4811226852","31.7","27.8","28.3","28.4","927.166"
"2024-09-13 11:32:50","45548.4811342593","31.7","27.8","28.3","28.4","926.685"
"2024-09-13 11:32:51","45548.4811458333","31.8","27.9","28.4","28.5","925.001"
"2024-09-13 11:32:52","45548.4811574074","31.8","27.9","28.4","28.4","923.558"
"2024-09-13 11:32:53","45548.4811689815","31.8","27.9","28.4","28.4","923.558"
"2024-09-13 11:32:54","45548.4811805556","31.8","27.8","28.4","28.4","923.317"
"2024-09-13 11:32:55","45548.4811921296","31.8","27.8","28.4","28.4","923.317"
"2024-09-13 11:32:56","45548.4812037037","31.8","27.8","28.4","28.4","922.596"
"2024-09-13 11:32:57","45548.4812152778","31.9","27.9","28.5","28.5","932.216"
"2024-09-13 11:32:58","45548.4812268519","32.0","27.9","28.5","28.5","931.254"
"2024-09-13 11:32:59","45548.4812384259","32.0","27.9","28.4","28.5","928.128"
"2024-09-13 11:33:00","45548.4812500000","32.0","27.9","28.4","28.4","924.279"
"2024-09-13 11:33:01","45548.4812615741","31.9","27.9","28.4","28.4","926.204"
"2024-09-13 11:33:02","45548.4812731482","32.0","27.9","28.4","28.4","929.571"
"2024-09-13 11:33:03","45548.4812847222","32.0","27.9","28.4","28.4","925.482"
"2024-09-13 11:33:04","45548.4812962963","32.0","28.0","28.5","28.5","926.685"
"2024-09-13 11:33:05","45548.4813078704","32.0","27.9","28.5","28.5","928.368"
"2024-09-13 11:33:06","45548.4813194444","32.1","27.9","28.5","28.5","928.368"
"2024-09-13 11:33:07","45548.4813310185","32.1","27.9","28.5","28.5","927.887"
"2024-09-13 11:33:08","45548.4813425926","32.1","27.9","28.5","28.4","928.368"
"2024-09-13 11:33:09","45548.4813541667","32.1","27.9","28.5","28.4","928.368"
"2024-09-13 11:33:10","45548.4813657407","32.1","27.9","28.5","28.4","928.368"
"2024-09-13 11:33:11","45548.4813773148","32.2","28.0","28.5","28.5","928.368"
"2024-09-13 11:33:12","45548.4813888889","32.2","28.0","28.5","28.5","926.685"
"2024-09-13 11:33:13","45548.4814004630","32.2","28.0","28.5","28.5","927.406"
"2024-09-13 11:33:14","45548.4814120370","32.2","27.9","28.5","28.5","928.849"
"2024-09-13 11:33:15","45548.4814236111","32.2","27.9","28.5","28.4","928.609"
"2024-09-13 11:33:16","45548.4814351852","32.2","27.9","28.5","28.4","928.368"
"2024-09-13 11:33:17","45548.4814467593","32.3","28.0","28.5","28.5","928.849"
"2024-09-13 11:33:18","45548.4814583333","32.2","28.0","28.5","28.5","929.090"
"2024-09-13 11:33:19","45548.4814699074","32.2","28.0","28.5","28.5","928.128"
"2024-09-13 11:33:20","45548.4814814815","32.2","28.0","28.5","28.5","928.368"
"2024-09-13 11:33:21","45548.4814930556","32.2","28.0","28.5","28.5","929.571"
"2024-09-13 11:33:22","45548.4815046296","32.2","27.9","28.5","28.5","929.090"
"2024-09-13 11:33:23","45548.4815162037","32.2","27.9","28.5","28.5","930.052"
"2024-09-13 11:33:24","45548.4815277778","32.3","28.0","28.6","28.6","929.811"
"2024-09-13 11:33:25","45548.4815393519","32.3","28.0","28.6","28.5","929.090"
"2024-09-13 11:33:26","45548.4815509259","32.3","28.0","28.5","28.5","928.849"
"2024-09-13 11:33:27","45548.4815625000","32.3","28.0","28.5","28.5","928.368"
"2024-09-13 11:33:28","45548.4815740741","32.3","28.0","28.5","28.5","928.849"
"2024-09-13 11:33:29","45548.4815856482","32.3","28.0","28.5","28.5","930.052"
"2024-09-13 11:33:30","45548.4815972222","32.4","28.1","28.6","28.6","931.254"
"2024-09-13 11:33:31","45548.4816087963","32.4","28.0","28.6","28.6","929.090"
"2024-09-13 11:33:32","45548.4816203704","32.4","28.0","28.6","28.6","928.368"
"2024-09-13 11:33:33","45548.4816319444","32.5","28.0","28.6","28.6","927.647"
"2024-09-13 11:33:34","45548.4816435185","32.5","28.0","28.6","28.5","928.368"
"2024-09-13 11:33:35","45548.4816550926","32.5","28.0","28.6","28.5","929.330"
"2024-09-13 11:33:36","45548.4816666667","32.5","28.0","28.6","28.5","929.330"
"2024-09-13 11:33:37","45548.4816782407","32.6","28.1","28.7","28.6","928.609"
"2024-09-13 11:33:38","45548.4816898148","32.6","28.1","28.7","28.6","928.368"
"2024-09-13 11:33:39","45548.4817013889","32.6","28.1","28.7","28.6","928.609"
"2024-09-13 11:33:40","45548.4817129630","32.6","28.1","28.7","28.6","928.849"
"2024-09-13 11:33:41","45548.4817245370","32.6","28.1","28.7","28.6","927.887"
"2024-09-13 11:33:42","45548.4817361111","32.6","28.1","28.7","28.6","928.128"
"2024-09-13 11:33:43","45548.4817476852","32.6","28.1","28.7","28.6","928.609"
"2024-09-13 11:33:44","45548.4817592593","32.7","28.1","28.7","28.6","929.090"
"2024-09-13 11:33:45","45548.4817708333","32.7","28.1","28.7","28.6","928.609"
"2024-09-13 11:33:46","45548.4817824074","32.8","28.1","28.7","28.6","929.571"
"2024-09-13 11:33:47","45548.4817939815","32.8","28.1","28.7","28.6","929.571"
"2024-09-13 11:33:48","45548.4818055556","32.8","28.1","28.7","28.6","930.052"
"2024-09-13 11:33:49","45548.4818171296","32.8","28.1","28.7","28.6","928.609"
"2024-09-13 11:33:50","45548.4818287037","32.8","28.1","28.7","28.6","928.128"
"2024-09-13 11:33:51","45548.4818402778","32.9","28.2","28.8","28.7","929.571"
"2024-09-13 11:33:52","45548.4818518519","32.9","28.2","28.8","28.6","929.571"
"2024-09-13 11:33:53","45548.4818634259","32.9","28.2","28.8","28.6","929.811"
"2024-09-13 11:33:54","45548.4818750000","32.9","28.2","28.8","28.6","930.052"
"2024-09-13 11:33:55","45548.4818865741","33.0","28.2","28.8","28.6","930.292"
"2024-09-13 11:33:56","45548.4818981482","33.0","28.2","28.8","28.6","930.773"
"2024-09-13 11:33:57","45548.4819097222","33.0","28.1","28.8","28.6","931.014"
"2024-09-13 11:33:58","45548.4819212963","33.1","28.2","28.9","28.7","930.773"
"2024-09-13 11:33:59","45548.4819328704","33.1","28.2","28.8","28.7","931.495"
"2024-09-13 11:34:00","45548.4819444444","33.1","28.2","28.8","28.7","931.495"
"2024-09-13 11:34:01","45548.4819560185","33.1","28.3","29.0","28.7","931.254"
"2024-09-13 11:34:02","45548.4819675926","33.1","28.4","29.0","28.7","931.254"
"2024-09-13 11:34:03","45548.4819791667","33.1","28.6","29.3","28.8","931.495"
"2024-09-13 11:34:04","45548.4819907407","33.2","28.7","29.7","28.9","931.976"
"2024-09-13 11:34:05","45548.4820023148","33.1","28.8","29.8","29.0","932.938"
"2024-09-13 11:34:06","45548.4820138889","33.2","28.8","29.8","29.0","931.735"
"2024-09-13 11:34:07","45548.4820254630","33.2","28.8","29.8","29.0","932.216"
"2024-09-13 11:34:08","45548.4820370370","33.2","28.8","29.7","29.0","931.976"
"2024-09-13 11:34:09","45548.4820486111","33.2","28.8","29.9","29.1","931.495"
"2024-09-13 11:34:10","45548.4820601852","33.5","28.9","30.2","29.0","931.495"
"2024-09-13 11:34:11","45548.4820717593","33.8","28.9","30.6","29.2","932.457"
"2024-09-13 11:34:12","45548.4820833333","33.8","29.0","31.1","29.3","931.495"
"2024-09-13 11:34:13","45548.4820949074","33.9","29.1","31.6","29.4","931.976"
"2024-09-13 11:34:14","45548.4821064815","34.1","29.1","31.8","29.4","930.773"
"2024-09-13 11:34:15","45548.4821180556","34.4","29.1","32.1","29.5","930.533"
